"iso2c","country","year","EN.ATM.METH.KT.CE","EG.USE.ELEC.KH.PC","EN.ATM.CO2E.PC","SP.POP.GROW","EG.USE.COMM.CL.ZS"
"MX","Mexico",1998,NA,1571.84970709147,3.75443846779045,1.72760948381187,6.66861755318345
"MX","Mexico",1999,NA,1610.94623823044,3.77822065070437,1.62699477482942,7.02065055795845
"MX","Mexico",2000,102714.2,1717.44403847966,3.72058829909057,1.51125629236518,6.98189793987752
"MX","Mexico",2001,NA,1744.64468927215,3.79545237540952,1.38228307177647,6.44284911466746
"MX","Mexico",2002,NA,1753.75058379659,3.71155150380954,1.2761088757382,6.29285053742468
"MX","Mexico",2003,NA,1719.34437274579,3.79759166236327,1.23326385978506,6.32268181747783
"MX","Mexico",2004,NA,1817.73470373346,3.80358132459011,1.27301550181981,6.4010523071964
"MX","Mexico",2005,113346.3,1869.74865834798,3.9676193457395,1.3670349114033,6.85046895928908
"MX","Mexico",2006,NA,1877.5600270336,3.99784272008753,1.47874567106962,6.60866819307165
"MX","Mexico",2007,NA,1905.74680040213,4.05576203736111,1.56470281743933,6.58568196026035
"MX","Mexico",2008,115119.4,1908.34666916627,4.12698810791117,1.60753043686233,6.71773373112964
"MX","Mexico",2009,NA,1863.53515829716,3.85714959914776,1.59009645450786,6.29973523417905
"MX","Mexico",2010,115858,1903.9848254485,3.75209081638195,1.53076587183814,6.03665724813883
"MX","Mexico",2011,NA,2074.24448867813,3.87610761080744,1.46266598582924,6.33232476636653
"MY","Malaysia",1990,23624.6,1145.83981404305,3.10760032742673,2.80674775432061,1.54782120705546
"MY","Malaysia",1991,NA,1253.40496054615,3.66605237298993,2.70181878831004,1.38918877162802
"MY","Malaysia",1992,NA,1404.23958718439,3.92082032002583,2.61057193101677,1.24647705699989
"MY","Malaysia",1993,NA,1516.89564088942,4.65579306018722,2.55022744551176,1.28807315041304
"MY","Malaysia",1994,NA,1764.92200927329,4.65262378605317,2.532187888453,1.73141230003736
"MY","Malaysia",1995,NA,1981.58064602357,5.84462364828736,2.53795526134352,1.52696654386544
"MY","Malaysia",1996,NA,2162.8454625187,5.89696776911549,2.55100646809945,1.151251549452
